dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,BCPT component: anchor retention only,dinov2_vitb14+biomedclip,,,clean,0.8670194986072423,0.0015865215449468665,0.9144436600379692,0.003737119997335978,0.8800311781137704,0.005301918499330367,0.8096609909369945,0.0011439672482332697,0.822257514658731,0.0011158862998178064,0.991740412979351,0.0022074674848224156,0.0,0.0,0.9642598098024735,0.004835279709346007,0.839162326243666,0.0031909112706120014,0.663350407930054,0.0004746893219277074,9.0,0.0,0.0,0.0
pathmnist,BCPT component: selection gate only,dinov2_vitb14+biomedclip,,,clean,0.8382451253481893,0.044771351269789206,0.894559756100444,0.029746644575116558,0.8483717128870338,0.04658225477765758,0.7561324355019231,0.0727289993466674,0.7734116440240533,0.068262019778353,0.5941002949852507,0.4850820554830732,0.0,0.0,0.9358018130871791,0.04175777926276773,0.8536294170529601,0.002932046553092876,0.5308037019320205,0.16146415001163317,9.0,0.0,0.0,0.0
pathmnist,BCPT component: fallback only,dinov2_vitb14+biomedclip,,,clean,0.8503064066852369,0.037635744747136476,0.8907837490390029,0.02648507449107996,0.8484056141585341,0.03872837031568162,0.7818498597970296,0.05971936058774232,0.797611955215032,0.05712898199607906,0.7781710914454277,0.38916772588369175,0.0,0.0,0.9248319973502241,0.040687993288023055,0.8759558468220717,0.05615166651265969,0.5920480214728002,0.12965246978570744,9.0,0.0,0.0,0.0
pathmnist,BCPT component: anchor blend only,dinov2_vitb14+biomedclip,,,clean,0.833008356545961,0.05134997577661912,0.8821970048707772,0.03546521567604453,0.8306301460237325,0.0559178814029123,0.7530605950718547,0.07827152320851706,0.7707518826269334,0.07467258930332675,0.5817109144542773,0.4749661941101314,0.0,0.0,0.9069408988565411,0.05134166720197534,0.8781903901521126,0.05401678784388234,0.5271243588721466,0.15823001743609363,9.0,0.0,0.0,0.0
pathmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,clean,0.8700278551532034,0.0007546639099801719,0.9195055418772846,0.0018979693483029021,0.8865792251684532,0.0018296942029161958,0.8116270618720233,0.0007025349688484279,0.8240611927940741,0.0009374283992075516,0.9834808259587021,0.008869201403169864,0.0,0.0,0.970331956211021,0.0018025490181888281,0.8408039594642466,0.0030517763583720547,0.6610476627069548,0.002942474110091927,9.0,0.0,0.0,0.0
bloodmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,clean,0.7527038877521192,0.0025948367168865216,0.6466020957874209,0.00240891787116335,0.645878394007277,0.003942814001100915,0.6922264460632295,0.002586422307844343,0.7016124258442483,0.0019703118098949074,0.9020576131687242,0.007543334477293529,0.0721311475409836,0.009558937532533276,0.7961573071676699,0.005357426207017353,0.7500795748470894,0.0021057890074935273,0.4870943803548539,0.006670059624889105,8.0,0.0,0.0,0.0
bloodmnist,MiniBatchKMeans (same features),dinov2_vitb14+biomedclip,,,clean,0.6465945629932768,0.06339873352458794,0.5777208908581732,0.07722381984858645,0.5186607479594859,0.10708597313301783,0.556998951155238,0.07967871346994533,0.5797543901807267,0.07643928115367835,0.3481481481481482,0.40998560698798475,0.012322067057950484,0.015150646058811069,0.7241461868404874,0.06866410211749538,0.6437942796685703,0.10178186927826029,0.26710686095932,0.17648319556136619,7.4,0.48989794855663565,0.6,0.48989794855663565
bloodmnist,Gaussian mixture--diag (same features),dinov2_vitb14+biomedclip,,,clean,0.7099678456591639,0.0399702689783876,0.6264659668480232,0.017238002340856654,0.6058256891239877,0.033341347914144386,0.6297838141507507,0.05472213013586726,0.6396225747733363,0.056441366812867065,0.5407407407407409,0.436482563489988,0.0377150374418134,0.025830341664991475,0.7767531182038955,0.026758915996363524,0.7287148124201643,0.02159559146826001,0.30028840315725563,0.21761968627089096,8.0,0.0,0.0,0.0
bloodmnist,Spectral clustering--kNN (same features),dinov2_vitb14+biomedclip,,,clean,0.8935983630517391,1.1102230246251565e-16,0.8171279289667291,7.021666937153402e-17,0.800861897247748,0.0,0.8756276204299571,1.1102230246251565e-16,0.8624057931159538,0.0,0.9588477366255145,1.1102230246251565e-16,0.5352112676056338,0.0,0.9459903805758728,0.0,0.7486233631751054,0.0,0.9077025568373474,0.0,8.0,0.0,0.0,0.0
bloodmnist,SCAN-FS (adapted),dinov2_vitb14+biomedclip,,,clean,0.6797427652733119,0.014232452066382092,0.7082605922539008,0.011566032462604332,0.6355569492462783,0.009133072486246665,0.6305023104354678,0.016901949809887032,0.6530792737491119,0.02208609952009708,0.0,0.0,0.0,0.0,0.6460217291823509,0.013389531961693147,0.8479820172087231,0.009487513387332247,0.3713114754098361,0.07594031164371802,8.0,0.0,0.0,0.0
